# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000400   ---        --------
               6   N   00000400   00100513   00000404   x11_a1     00000000
               7   N   00000404   00000073   00000408   x10_a0     00000001
               8   E   00000408   0ff0000f   00000200   mstatus    00001800
               8   E   00000408   0ff0000f   00000200   mepc       00000408
               8   E   00000408   0ff0000f   00000200   mcause     0000000b
               8   E   00000408   0ff0000f   00000200   mtval      00000000
              11   N   00000200   00a58023   00000202   x08_s0     00000244
              13   N   00000202   04c00513   00000206   ---        --------
              14   N   00000206   00a58023   0000020a   x10_a0     0000004c
              17   N   0000020a   04500513   0000020e   ---        --------
              18   N   0000020e   00a58023   00000212   x10_a0     00000045
              21   N   00000212   04700513   00000216   ---        --------
              22   N   00000216   00a58023   0000021a   x10_a0     00000047
              25   N   0000021a   04100513   0000021e   ---        --------
              26   N   0000021e   00a58023   00000222   x10_a0     00000041
              29   N   00000222   04c00513   00000226   ---        --------
              30   N   00000226   00a58023   0000022a   x10_a0     0000004c
              33   N   0000022a   00004505   0000022e   ---        --------
              34   N   0000022e   4d00006f   00000230   x10_a0     00000001
              35   N   00000230   00000013   00000700   ---        --------
              38   N   00000700   9f428293   00000704   x05_t0     00000700
              39   N   00000704   00008282   00000708   x05_t0     000000f4
              40   N   00000708   00000013   000000f4   ---        --------
              43   N   000000f4   0000006f   000000f8   ---        --------
              44   N   000000f8   ffffffff   000000f8   ---        --------
